id,Overs remaining,Runs Scored,Wickets Remaining,Runs required,Match Boolean
0,19,5,9,180,True
1,18,15,8,170,True
2,17,26,8,159,True
3,16,36,8,149,True
4,15,44,8,141,True
5,14,55,8,130,True
6,13,59,7,126,True
7,12,65,7,120,True
8,11,72,7,113,True
9,10,83,7,102,True
10,9,90,7,95,True
11,8,102,7,83,True
12,7,111,7,74,True
13,6,121,7,64,True
14,5,129,7,56,True
15,4,141,7,44,True
16,3,149,7,36,True
17,2,157,7,28,True
18,1,170,7,15,True
19,0,186,7,0,True
20,19,4,10,126,False
21,18,12,9,118,False
22,17,19,9,111,False
23,16,20,8,110,False
24,15,31,8,99,False
25,14,37,8,93,False
26,13,43,8,87,False
27,12,47,8,83,False
28,11,52,7,78,False
29,10,56,7,74,False
30,9,59,7,71,False
31,8,69,7,61,False
32,7,77,7,53,False
33,6,82,6,48,False
34,5,91,6,39,False
35,4,99,5,31,False
36,3,103,4,27,False
37,2,117,4,13,False
38,1,124,4,6,False
39,0,130,3,0,False
40,19,9,9,224,False
41,18,21,8,212,False
42,17,29,7,204,False
43,16,41,7,192,False
44,15,65,7,168,False
45,14,72,7,161,False
46,13,77,7,156,False
47,12,84,7,149,False
48,11,95,7,138,False
49,10,110,7,123,False
50,9,123,7,110,False
51,8,128,6,105,False
52,7,134,6,99,False
53,6,149,6,84,False
54,5,156,4,77,False
55,4,161,3,72,False
56,3,164,1,69,False
57,2,170,1,63,False
58,1,171,1,62,False
59,19,5,10,159,True
60,18,15,10,149,True
61,17,21,10,143,True
62,16,31,10,133,True
63,15,36,10,128,True
64,14,45,9,119,True
65,13,49,9,115,True
66,12,53,8,111,True
67,11,58,8,106,True
68,10,70,8,94,True
69,9,73,7,91,True
70,8,86,7,78,True
71,7,99,7,65,True
72,6,107,6,57,True
73,5,117,6,47,True
74,4,130,6,34,True
75,3,138,6,26,True
76,2,149,6,15,True
77,1,162,5,2,True
78,0,166,5,0,True
79,19,6,9,162,True
80,18,19,9,149,True
81,17,21,7,147,True
82,16,28,7,140,True
83,15,34,7,134,True
84,14,49,7,119,True
85,13,52,7,116,True
86,12,61,7,107,True
87,11,75,7,93,True
88,10,88,7,80,True
89,9,93,7,75,True
90,8,99,7,69,True
91,7,110,7,58,True
92,6,125,7,43,True
93,5,135,6,33,True
94,4,141,6,27,True
95,3,147,6,21,True
96,2,153,5,15,True
97,1,160,5,8,True
98,0,169,4,0,True
99,19,10,10,188,True
100,18,21,10,177,True
101,17,34,10,164,True
102,16,51,10,147,True
103,15,68,10,130,True
104,14,82,9,116,True
105,13,87,9,111,True
106,12,101,9,97,True
107,11,117,9,81,True
108,10,123,9,75,True
109,9,134,9,64,True
110,8,150,9,48,True
